"Date"	"Year"	"Month"	"Day"	"Churanov"	"Klatovy"	"Lenora"	"Husinec"	"Karlovy_Vary"	"Bedrichov"	"Desna"	"Harrachov"	"Rokytnice_Orl"	"Sumperk"	"Svetla_hora"	"Mesto_Albrechtice"	"Cervena"	"Lysa_hora"	"Vsetin"	"Frenstat"	"Jablunkov"
19800112	1980	1	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19800113	1980	1	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19800114	1980	1	14	8219.1337049351	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19800115	1980	1	15	95645.2977809376	0	0	0	0	0	0	0	0	0	0	0	0	0	24519.1248009514	0	84419.8925503473
19800116	1980	1	16	0	0	0	0	0	0	0	0	3919.24620611398	0	0	0	0	0	0	0	40707.0704122382
19800117	1980	1	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19800118	1980	1	18	64755.4348483287	0	0	0	0	0	0	0	84548.7562631238	69303.8731337474	52789.4003695692	112806.151244061	0	0	67916.7579423626	46105.0015144137	100272.363792602
19800119	1980	1	19	0	12864.2714879766	0	0	44702.6123772439	0	0	0	32660.1214674122	0	0	118470.188208323	0	0	8602.94166476832	0	29642.2419063056
19800120	1980	1	20	128542.283906676	17386.7983009352	0	0	45344.0763997113	0	0	15903.1771553245	103521.420350313	159279.520199545	104388.667377271	136736.302498421	4242.33142164753	0	165683.633982149	129195.967509343	64397.2530328218
19800121	1980	1	21	166246.28584062	70516.0946144353	0	44985.1501877215	75284.2569778316	52327.6123840011	48398.2001376078	96860.2675352166	159643.809486393	225352.352326603	169435.606197285	210191.204073916	98963.5271439878	0	278502.033159237	266389.544033357	274279.548294014
19800122	1980	1	22	177673.528029013	187729.680611637	128614.740197153	187005.469451156	165542.514917817	49046.2940597648	45047.0465289253	77859.1752217282	174799.375995939	202769.491256877	124647.29877227	166376.894064406	87302.7818078294	0	273473.993987923	292346.664193888	313541.776381045
19800123	1980	1	23	92405.0394488302	276585.515414609	237554.891611502	249784.267945906	254222.008913245	112080.640172006	108137.68796486	129016.14580828	177431.259584991	271467.077443341	205033.714088885	246825.387764492	155031.002240377	49403.2025946132	304691.123085804	305584.258124786	309151.585577953
19800124	1980	1	24	117167.42686056	243829.288030718	188976.681349867	253372.56245615	271247.306422522	147595.962963725	156326.712934621	186019.658308934	158174.072303978	204455.998914134	53143.1356803302	246198.726393544	98905.6261784772	27345.1211699356	244542.307115155	278172.743718707	277352.751269277
19800125	1980	1	25	52305.6461600966	280130.293686994	210883.607386418	266585.23489461	271023.031127177	119976.193158078	124493.930131851	146049.417683282	169548.04662215	239179.513420898	188861.474035907	245546.151344272	127788.958625379	0	243479.801394901	254565.073908365	226135.003788866
19800126	1980	1	26	0	189561.490068365	121577.665452173	193228.962667301	198570.786754772	0	0	0	18127.1357770742	137486.097444106	9133.46688385784	0	0	0	114060.347105288	65780.6648182142	37481.205356846
19800127	1980	1	27	0	91411.6677159765	0	49028.9502686256	41263.7793805231	0	0	0	0	0	0	0	0	0	0	0	0
19800128	1980	1	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
19800129	1980	1	29	0	74415.2626569621	15255.9757268567	0	14203.1162764372	0	0	0	0	0	0	0	0	0	0	0	0
19800130	1980	1	30	276764.758911913	443411.612857583	320114.327530067	441238.608613944	307965.910501164	148894.736286883	130509.087278892	186549.271022893	38646.8002962851	107406.641674641	34061.4883541375	145006.435349169	0	74933.0330863604	171777.566650892	294895.993482094	154526.615965077
19800131	1980	1	31	353934.308240199	547666.335403306	377480.841706932	588766.874637698	474469.83325899	321796.452117244	331827.069674886	365217.327446389	299530.615731382	277852.000607582	296726.343182036	393043.015195091	255661.371721928	192854.695251431	446474.950301415	507782.655431771	455788.084556868
19800201	1980	2	1	79295.9172267826	353588.401109062	266213.801665828	354550.989409126	268530.230716829	28881.1369921465	57859.3872954473	110959.206612431	204659.301234511	226936.124805453	276474.66717438	279685.932677278	183397.559387644	46409.0372724675	406641.539284583	407581.838655674	365347.805775417
19800202	1980	2	2	96654.4632130514	390950.192474882	200080.398822498	424633.252786918	318526.425581839	73449.2080056868	53951.8390441532	103055.659201572	60898.7173300132	92272.5416234349	0	116784.704895482	20710.5002648544	0	201272.227183357	230671.499131509	188244.356897711
19800203	1980	2	3	174553.394435149	450929.201861936	313082.744832534	475037.90273497	380434.418834187	149446.799193795	139710.588139732	174732.78375934	252836.64701871	276199.410645969	285729.609961598	314920.75962994	168406.331532148	37274.4135283947	317522.267817057	388916.377979987	377300.73250185
19800204	1980	2	4	144083.693085018	425497.378213723	306875.937440146	416031.916399653	308443.630665128	106435.269693403	101529.085066363	132058.082466002	194131.218856714	344381.747342333	253533.656872499	283472.692116928	181885.669817613	32470.8238249982	311711.529439294	351943.12178918	345662.828482246
19800205	1980	2	5	281516.732031872	526657.392622213	396774.553853735	546667.286091252	457220.336692549	206278.256429997	165282.166554615	201543.089356653	240095.270893826	247795.021556366	257789.614678749	320289.330431583	190338.732191547	82507.1182957656	311208.200476856	379719.421410732	323889.509068188
19800206	1980	2	6	240270.928842245	552150.416859342	328239.983575796	532531.50000905	464998.546117745	335831.90471375	289051.785359605	294458.7261146	396090.3905182	361501.401471476	415040.779744439	412573.669027248	353836.296185584	206863.633668599	417930.690652098	520206.103775811	424086.759006686
19800207	1980	2	7	273204.661817203	503918.981821683	345191.686645644	517826.153313109	417937.066924962	309695.593529917	294123.161071992	337075.120015314	397303.66016317	373156.384423343	399835.408924408	458227.337208682	354115.863651135	181858.79523236	407530.859328366	511721.238048468	476470.717602633
19800208	1980	2	8	212641.170366557	506360.284232928	338837.47429135	431583.458338323	497788.714970472	315146.136424151	304733.450531441	332106.792489852	370396.096289248	351133.322914421	429188.457052776	510943.738117906	337173.93693808	179086.642377293	431697.174775879	514392.540282843	513189.68175068
19800209	1980	2	9	510188.338032078	431854.044000077	374480.303652836	480609.178617207	438038.957196499	348344.490183948	304556.516558591	376726.508515522	273971.586807093	443450.667583251	476659.22668483	633859.360473718	424162.671134014	270139.148830016	563284.701928981	728536.162385018	615487.327895763
19800210	1980	2	10	475752.499955943	571240.285921424	478697.38719581	561640.241992148	503400.054332626	376990.788531013	298646.493598829	315702.42076152	336697.069068811	374812.941292959	321213.42232136	540127.613031791	200864.143983436	310433.203275099	409805.32550115	507668.346713221	542275.450220469
19800211	1980	2	11	235531.605923683	562299.317744053	405334.497033815	533508.636262849	529675.002669902	303471.798721289	326837.476749482	349938.295181265	360154.976291129	428794.182537871	415749.471926496	472550.405620723	336378.146493651	103169.624669359	392027.507238722	431076.400053567	405886.827268163
19800212	1980	2	12	163764.047429958	496997.091601444	367504.638312601	479103.958183288	478880.310155094	244722.161962249	262566.955146952	297713.630618478	318259.216520523	442098.389149236	404677.30606846	414523.627871943	274831.805062043	67862.9740032313	448266.939393262	401183.61738558	387990.736970942
19800213	1980	2	13	108810.458587974	448334.656495256	302596.972390109	377953.422575044	334859.801349164	0	53435.7509113105	53460.0411414191	146573.493890334	227861.868920749	135129.785501585	140528.257041061	55886.4470065802	0	208824.724626732	238420.112788378	187822.704115296
19800214	1980	2	14	0	391513.150290791	104667.631167565	214814.590676002	452039.320198493	0	0	84617.6013561751	74534.0060508209	125246.147991916	31230.8035736657	229912.798406952	132581.834058559	0	173655.327527019	165826.559325836	82738.576720257
19800215	1980	2	15	46264.686873923	332696.568707709	26586.9526724701	185208.769213732	277105.588774176	0	0	67648.0673857151	189500.331122822	299284.235936047	127032.498398802	290690.856285673	154050.994701451	0	268011.729511343	304711.356753443	187624.254779106
19800216	1980	2	16	255200.766571126	430961.970566181	256623.003169865	457038.722413482	454750.426354378	124926.898036531	118833.900420838	156427.648861383	147745.824350489	220140.703994836	155007.034718423	269909.483124565	32628.4408114552	19761.9965300479	279029.944681107	369040.625809044	335407.374862917
19800217	1980	2	17	143300.662630621	525593.926777478	363643.17768768	471213.303629641	501542.065915844	114393.314667212	120901.627544434	165514.17596512	228630.446288958	348910.013920276	216715.458265939	241794.215781124	126047.527430087	0	297076.733822399	274629.742354626	274081.523758071
19800218	1980	2	18	0	356097.502154835	174264.282899888	256729.262693029	337804.439544197	0	32367.9173667099	71238.9197268253	146131.645110155	287805.969540526	146896.63222311	199350.688120294	6743.93668181023	0	288177.167883129	238280.50293614	258197.47271256
19800219	1980	2	19	0	396667.960252431	184114.882679706	317226.413859707	390638.869153404	138124.810370225	204147.523095971	243759.000864505	303923.091276684	217745.827411743	135770.956806745	249991.111027569	150814.940716681	0	299812.72126679	138383.248694617	220987.134214201
19800220	1980	2	20	150284.118100606	459649.081953936	237384.474548306	286467.429795083	376646.027870359	234172.96950063	227754.862048043	241248.392151859	322737.824468741	124512.472557262	0	302254.760790863	292652.246691028	133551.773881659	255052.560624828	196887.515042887	252662.920280576
19800221	1980	2	21	268987.739204919	474230.20555613	58455.3452822697	225531.926611748	348122.6212369	190549.980008111	81760.2617660582	170400.528368123	321128.788612837	133599.169727434	77171.6131000488	195544.115177531	339934.101238232	378575.504630271	244750.355473869	235804.251501828	206837.72399846
19800222	1980	2	22	347084.856794804	525628.57153603	155854.722111139	243871.752655186	346829.171077076	339150.450511094	90082.4277848951	214894.392305297	461285.9272321	0	114098.510897276	255576.868640685	467827.011694303	391939.788583185	372993.231088139	188780.440061281	188436.950880553
